systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnse;ENG;KCJ;;;Kent Coast Javelins;eng.kcj;
gbnse;ENG;SEML;;Has;South East Mainline (Hastings);eng.semlhas;
gbnse;ENG;SEML;;Mar;South East Mainline (Margate);eng.semlmar;
gbnse;ENG;CML;;;Chatham Mainline;eng.cml;
gbnse;ENG;MaiLn;;;Maidstone Line;eng.mailn;
gbnse;ENG;MedVlyLn;;;Medway Valley Line;eng.medvlyln;
gbnse;ENG;SheLn;;;Sherness Line;eng.sheln;
gbnse;ENG;BexLn;;;Bexleyheath Line;eng.bexln;
gbnse;ENG;OrpLn;;;Orpington Line;eng.orpln;
gbnse;ENG;SidLn;;;Sidcup Line;eng.sidln;
gbnse;ENG;NKentLn;;;North Kent Line;eng.nkentln;
gbnse;ENG;HayLn;;Cha;Hayes Line (Charing Cross);eng.haylncha;
gbnse;ENG;HayLn;;Can;Hayes Line (Cannon Street);eng.haylncan;
gbnse;ENG;GreLn;;;Greenwich Line;eng.greln;
gbnse;ENG;SidLp;;;Sidcup Loop;eng.sidlp;
gbnse;ENG;BroNBra;;;Bromley North Branch;eng.bronbra;
