systemName;route;banner;groupName;roots
deurrt;101;;;deunw.101ess
deurrt;102;;;deunw.102mul
deurrt;103;;;deunw.103ess
deurrt;104;;;deunw.104mul
deurrt;105;;;deunw.105ess
deurrt;106;;;deunw.106ess
deurrt;107;;;deunw.107ess
deurrt;108;;;deunw.108ess
deurrt;109;;;deunw.109ess
deurrt;112;;;deunw.112obe
deurrt;301;;;deunw.301gel
deurrt;302;;;deunw.302gel
deurrt;305;;;deunw.305boc
deurrt;306;;;deunw.306boc
deurrt;308;;;deunw.308boc
deurrt;309;;;deunw.309wit
deurrt;310;;;deunw.310boc
deurrt;316;;;deunw.316boc
deurrt;318;;;deunw.318boc
deurrt;701;;;deunw.701dus
deurrt;704;;;deunw.704dus
deurrt;705;;;deunw.705dus
deurrt;706;;;deunw.706dus
deurrt;707;;;deunw.707dus
deurrt;708;;;deunw.708dus
deurrt;709;;;deunw.709dus
deurrt;901;;;deunw.901dui
deurrt;903;;;deunw.903dui
deurrt;041;;;deunw.041kre
deurrt;042;;;deunw.042kre
deurrt;043;;;deunw.043kre
deurrt;044;;;deunw.044kre

